candidate_name,question_text,answer_label,question_id,answer_id,category_name,candidate_id,victory,intensity,type_name,geography_name,total_votes,percentage_votes,okelection_votes,intensity_avg
Kenneth Cooper Alexander,Does Norfolk need protected bicycle lanes on streets?,"Yes, but not at the expense of car lanes",36,97,Public Safety & Crime,1,Yes,5,Mayor,City,16397,51.51,448,3.4464285714285714
Kenneth Cooper Alexander,How should the city address the disparate incarceration rates between white and black citizens?,The city should evaluate the possibility that law enforcement processes can be made more equitable.,35,94,Public Safety & Crime,1,Yes,5,Mayor,City,16397,51.51,574,3.6846689895470383
Kenneth Cooper Alexander,My feelings on marijuana in Norfolk are:,Marijuana should be regulated and policed like alcohol.,34,92,Public Safety & Crime,1,Yes,1,Mayor,City,16397,51.51,826,4.1053268765133172
Kenneth Cooper Alexander,What do you think should be done to decrease crime in Norfolk?,Increased investment in struggling neighborhoods to increase the quality of living and increase quality of local services.,33,89,Public Safety & Crime,1,Yes,5,Mayor,City,16397,51.51,667,4.1469265367316342
Kenneth Cooper Alexander,Is the city doing enough to keep the Navy and other military installations here in Norfolk?,We can always do more,32,85,Economic Development,1,Yes,5,Mayor,City,16397,51.51,494,3.4817813765182186
Kenneth Cooper Alexander,Would you have voted for $18 million to redevelop J.C. Penney at Military Circle?,No,31,83,Economic Development,1,Yes,5,Mayor,City,16397,51.51,783,3.7305236270753512
Kenneth Cooper Alexander,"Should Norfolk embrace the sharing economy (things like Uber, AirBNB)?",No. Everyone should play by the same rules.,30,81,Economic Development,1,Yes,3,Mayor,City,16397,51.51,83,3.6144578313253012
Kenneth Cooper Alexander,What is your opinion on the best method of luring business to Norfolk?,Incentives for small businesses including tax/rent reductions and other perks (similar to Vibrant Spaces).,29,76,Economic Development,1,Yes,5,Mayor,City,16397,51.51,243,3.7613168724279835
Kenneth Cooper Alexander,"Has the city spent too much, too little or the right amount of money downtown?",The right amount,28,74,Economic Development,1,Yes,4,Mayor,City,16397,51.51,579,3.0518134715025907
Kenneth Cooper Alexander,How will the new Waterside affect local businesses?,Healthy competition will benefit everyone.,27,70,Economic Development,1,Yes,3,Mayor,City,16397,51.51,353,3.3427762039660057
Kenneth Cooper Alexander,Was The Main a good use of city money?,The jury is out,26,68,Economic Development,1,Yes,3,Mayor,City,16397,51.51,711,2.5372714486638537
Kenneth Cooper Alexander,What should the city emphasize first?,Attraction of businesses from outside the region,25,65,Economic Development,1,Yes,5,Mayor,City,16397,51.51,195,3.6769230769230769
Kenneth Cooper Alexander,Should backyard chickens be legal in Norfolk?,Yes,24,62,Neighborhoods and Quality of Life,1,Yes,1,Mayor,City,16397,51.51,757,3.4280052840158520
Kenneth Cooper Alexander,Should there be incentives to encourage reuse of vacant properties?,No,23,61,Neighborhoods and Quality of Life,1,Yes,5,Mayor,City,16397,51.51,70,3.0857142857142857
Kenneth Cooper Alexander,Should the city require affordable housing in new developments?,No,22,59,Neighborhoods and Quality of Life,1,Yes,5,Mayor,City,16397,51.51,388,3.3530927835051546
Kenneth Cooper Alexander,Norfolk’s park system is:,Needs a lot of work.,21,57,Neighborhoods and Quality of Life,1,Yes,5,Mayor,City,16397,51.51,565,3.7982300884955752
Kenneth Cooper Alexander,How would you help Norfolk’s waterfront?,City should spend money on cleaning up and rehabilitating the waterfront.,20,53,Neighborhoods and Quality of Life,1,Yes,5,Mayor,City,16397,51.51,537,3.6089385474860335
Kenneth Cooper Alexander,Pick one spending priority for the neighborhoods outside of downtown:,Entertainment and tourist attractions,19,50,Neighborhoods and Quality of Life,1,Yes,5,Mayor,City,16397,51.51,61,3.7868852459016393
Kenneth Cooper Alexander,What do you think should be done to preserve distressed properties in historic districts?,Code enforcement should require property owners to adhere to the law,18,48,Neighborhoods and Quality of Life,1,Yes,5,Mayor,City,16397,51.51,136,3.4852941176470588
Kenneth Cooper Alexander,Should municipal elections be moved to November?,No,17,44,City Engagement & Government,1,Yes,5,Mayor,City,16397,51.51,295,2.7796610169491525
Kenneth Cooper Alexander,Should the Norfolk mayor and city council members have term limits?,No,16,42,City Engagement & Government,1,Yes,1,Mayor,City,16397,51.51,251,2.9442231075697211
Kenneth Cooper Alexander,Have Norfolk’s efforts to engage citizens on major decisions been:,What citizen engagement?,15,40,City Engagement & Government,1,Yes,5,Mayor,City,16397,51.51,470,3.6617021276595745
Kenneth Cooper Alexander,What is your opinion on government meetings?,More can be done to increase transparency including recording meetings in their entirety.,14,35,City Engagement & Government,1,Yes,5,Mayor,City,16397,51.51,877,3.8289623717217788
Kenneth Cooper Alexander,Which word better describes the City of Norfolk government:,Closed,13,34,City Engagement & Government,1,Yes,5,Mayor,City,16397,51.51,800,3.5137500000000000
