id,candidate_id,question_id,answer_id,intensity,id,candidate_name,candidate_img,candidate_website,candidate_type_id,victory
1,6,1,1,5,6,Barclay C. Winn,,,2,No
2,6,2,4,4,6,Barclay C. Winn,,,2,No
3,6,3,9,4,6,Barclay C. Winn,,,2,No
4,6,4,12,4,6,Barclay C. Winn,,,2,No
5,6,5,14,5,6,Barclay C. Winn,,,2,No
6,6,6,16,5,6,Barclay C. Winn,,,2,No
7,6,7,19,5,6,Barclay C. Winn,,,2,No
8,6,8,20,5,6,Barclay C. Winn,,,2,No
9,6,9,23,2,6,Barclay C. Winn,,,2,No
10,6,10,27,5,6,Barclay C. Winn,,,2,No
11,6,11,28,5,6,Barclay C. Winn,,,2,No
12,6,12,31,5,6,Barclay C. Winn,,,2,No
13,6,13,33,5,6,Barclay C. Winn,,,2,No
14,6,14,35,5,6,Barclay C. Winn,,,2,No
15,6,15,38,5,6,Barclay C. Winn,,,2,No
16,6,16,42,1,6,Barclay C. Winn,,,2,No
17,6,17,43,4,6,Barclay C. Winn,,,2,No
18,6,18,46,5,6,Barclay C. Winn,,,2,No
19,6,19,51,5,6,Barclay C. Winn,,,2,No
20,6,20,53,5,6,Barclay C. Winn,,,2,No
21,6,21,56,5,6,Barclay C. Winn,,,2,No
22,6,22,58,5,6,Barclay C. Winn,,,2,No
23,6,23,60,5,6,Barclay C. Winn,,,2,No
24,6,24,62,3,6,Barclay C. Winn,,,2,No
25,6,25,66,5,6,Barclay C. Winn,,,2,No
26,6,26,67,4,6,Barclay C. Winn,,,2,No
27,6,27,70,5,6,Barclay C. Winn,,,2,No
28,6,28,74,5,6,Barclay C. Winn,,,2,No
29,6,29,76,5,6,Barclay C. Winn,,,2,No
30,6,30,80,4,6,Barclay C. Winn,,,2,No
31,6,31,82,5,6,Barclay C. Winn,,,2,No
32,6,32,85,5,6,Barclay C. Winn,,,2,No
33,6,33,89,5,6,Barclay C. Winn,,,2,No
34,6,34,91,2,6,Barclay C. Winn,,,2,No
35,6,35,93,4,6,Barclay C. Winn,,,2,No
36,6,36,96,4,6,Barclay C. Winn,,,2,No
37,8,1,1,3,8,"G.W. ""Billy"" Cook, Jr.",,,2,No
38,8,2,5,4,8,"G.W. ""Billy"" Cook, Jr.",,,2,No
39,8,3,9,4,8,"G.W. ""Billy"" Cook, Jr.",,,2,No
40,8,4,11,4,8,"G.W. ""Billy"" Cook, Jr.",,,2,No
41,8,5,15,3,8,"G.W. ""Billy"" Cook, Jr.",,,2,No
