1	1	Yes, streets should accommodate bikes and pedestrians in addition to cars.	Yes, streets should accommodate bikes and pedestrians in addition to cars.
2	1	To a degree.	To a degree.
3	1	No. Our city was designed for vehicular traffic and should stay that way.	No. Our city was designed for vehicular traffic and should stay that way.
4	2	Absolutely. The Tide showed visionary leadership.	Absolutely. The Tide showed visionary leadership.
5	2	It remains to be seen.	It remains to be seen.
6	2	No. This was inefficient transportation spending.	No. This was inefficient transportation spending.
7	3	ODU	ODU
8	3	Norfolk International Airport	Norfolk International Airport
9	3	Naval Station Norfolk	Naval Station Norfolk
10	3	Nowhere	Nowhere
11	4	Bus service to the Norfolk International Airport	Bus service to the Norfolk International Airport
12	4	A citywide bike share program	A citywide bike share program
13	4	Expanded waterway transportation	Expanded waterway transportation
14	5	Yes	Yes
15	5	No	No
16	6	Yes	Yes
17	6	No	No
18	7	Yes	Yes
19	7	No	No
20	8	Yes	Yes
21	8	No	No
22	9	Yes	Yes
23	9	No	No
24	10	A storm wall at the mouth of the Hague	A storm wall at the mouth of the Hague
25	10	Creek and wetland restoration in the St. Paul’s quadrant	Creek and wetland restoration in the St. Paul’s quadrant
26	10	Lifting houses and streets in vulnerable neighborhoods	Lifting houses and streets in vulnerable neighborhoods
27	10	Replenishing beaches	Replenishing beaches
28	11	Yes. This is a priority	Yes. This is a priority
29	11	No. Private property rights are sacred.	No. Private property rights are sacred.
30	12	Leave it alone. Norfolk Southern is following the law.	Leave it alone. Norfolk Southern is following the law.
31	12	The city should hire an independent researcher to test the impact on citizen health.	The city should hire an independent researcher to test the impact on citizen health.
32	12	The city should push Norfolk Southern to minimize impact on the surrounding neighborhoods, regardless of the EPA report.	The city should push Norfolk Southern to minimize impact on the surrounding neighborhoods, regardless of the EPA report.
33	13	Transparent	Transparent
34	13	Closed	Closed
35	14	More can be done to increase transparency including recording meetings in their entirety.	More can be done to increase transparency including recording meetings in their entirety.
36	14	Enough is being done.	Enough is being done.
37	14	I think transparent government processes are unnecessary.	I think transparent government processes are unnecessary.
38	15	Good; people feel their voices are heard.	Good; people feel their voices are heard.
39	15	Adequate, if maybe too top down.	Adequate, if maybe too top down.
40	15	What citizen engagement?	What citizen engagement?
41	16	Yes	Yes
42	16	No	No
43	17	Yes	Yes
44	17	No	No
45	18	Increase incentives to companies willing to invest.	Increase incentives to companies willing to invest.
46	18	Increase flexibility of local ordinances/codes/zoning to allow a greater flexibility of uses in historic structures as long as the building is preserved.	Increase flexibility of local ordinances/codes/zoning to allow a greater flexibility of uses in historic structures as long as the building is preserved.
47	18	Historic properties should not be given priority or special treatment by local ordinances.	Historic properties should not be given priority or special treatment by local ordinances.
48	18	Code enforcement should require property owners to adhere to the law	Code enforcement should require property owners to adhere to the law
49	19	Economic development.	Economic development.
50	19	Entertainment and tourist attractions	Entertainment and tourist attractions
51	19	Parks and schools	Parks and schools
52	20	City should spend money on boat slips, kayak launches, watercraft rental.	City should spend money on boat slips, kayak launches, watercraft rental.
53	20	City should spend money on cleaning up and rehabilitating the waterfront.	City should spend money on cleaning up and rehabilitating the waterfront.
54	20	City should spend money on making the waterfront more appealing through entertainment options like restaurants or Ferris wheels.	City should spend money on making the waterfront more appealing through entertainment options like restaurants or Ferris wheels.
55	21	A gem.	A gem.
56	21	Adequate and should be maintained.	Adequate and should be maintained.
57	21	Needs a lot of work.	Needs a lot of work.
58	22	Yes	Yes
59	22	No	No
60	23	Yes	Yes
61	23	No	No
62	24	Yes	Yes
63	24	No	No
64	25	Expansion of existing businesses	Expansion of existing businesses
65	25	Attraction of businesses from outside the region	Attraction of businesses from outside the region
66	25	Development of new local businesses	Development of new local businesses
67	26	Absolutely	Absolutely
68	26	The jury is out	The jury is out
69	26	No	No
70	27	Healthy competition will benefit everyone.	Healthy competition will benefit everyone.
71	27	They’re appealing to different demographics, so it’s a moot point.	They’re appealing to different demographics, so it’s a moot point.
72	27	Negatively. The city is betting against itself.	Negatively. The city is betting against itself.
73	28	Too much	Too much
74	28	The right amount	The right amount
75	28	Not enough	Not enough
76	29	Incentives for small businesses including tax/rent reductions and other perks (similar to Vibrant Spaces).	Incentives for small businesses including tax/rent reductions and other perks (similar to Vibrant Spaces).
77	29	Tax breaks and real estate incentives for large companies to relocate.	Tax breaks and real estate incentives for large companies to relocate.
78	29	A mix of both methods.	A mix of both methods.
79	30	Yes, and quickly.	Yes, and quickly.
80	30	Yes, but it should wait for the state to develop a framework.	Yes, but it should wait for the state to develop a framework.
81	30	No. Everyone should play by the same rules.	No. Everyone should play by the same rules.
82	31	Yes	Yes
83	31	No	No
84	32	Yes	Yes
85	32	We can always do more	We can always do more
86	32	No	No
87	33	Increased staffing of the police department.	Increased staffing of the police department.
88	33	Increased community outreach and assistance to low-income families.	Increased community outreach and assistance to low-income families.
89	33	Increased investment in struggling neighborhoods to increase the quality of living and increase quality of local services.	Increased investment in struggling neighborhoods to increase the quality of living and increase quality of local services.
90	34	We need more police resources on the issue.	We need more police resources on the issue.
91	34	Norfolk’s approach is appropriate.	Norfolk’s approach is appropriate.
92	34	Marijuana should be regulated and policed like alcohol.	Marijuana should be regulated and policed like alcohol.
93	35	It shouldn’t. The people who commit crimes are incarcerated blind to race.	It shouldn’t. The people who commit crimes are incarcerated blind to race.
94	35	The city should evaluate the possibility that law enforcement processes can be made more equitable.	The city should evaluate the possibility that law enforcement processes can be made more equitable.
95	35	America’s laws are inherently racist.	America’s laws are inherently racist.
96	36	Yes	Yes
97	36	Yes, but not at the expense of car lanes	Yes, but not at the expense of car lanes
98	36	No	No
\.


